"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Dani Alves","D","40","Brazil","35","4","2","15","35","8","55","49","10","0","2"
"Gerard Piqué","D","37","Spain","31","2","3","1","18","8","30","15","9","1","3"
"Carles Puyol","D","45","Spain","17","0","1","0","5","2","11","13","3","0","5"
"Gabriel Milito","D","43","Argentina","10","2","0","0","0","0","4","4","2","0","18"
"Maxwell","D","42","Brazil","25","6","0","1","4","2","13","8","2","0","19"
"Adriano","D","39","Brazil","15","4","0","1","8","3","15","10","3","0","21"
"Eric Abidal","D","44","France","26","3","0","0","8","3","15","10","3","0","22"
"Andreu Fontàs","D","34","Spain","6","1","0","1","0","0","1","3","0","0","26"
"Xavi","M","44","Spain","31","2","3","7","34","11","6","40","6","0","6"
"Andrés Iniesta","M","39","Spain","34","2","8","3","45","23","28","70","1","0","8"
"Javier Mascherano","M","39","Argentina","27","9","0","0","8","4","28","22","6","0","14"
"Seydou Keita","M","44","Mali","35","20","3","2","13","7","36","29","2","0","15"
"Sergio Busquets","M","35","Spain","28","3","1","3","8","2","41","72","5","0","16"
"Ibrahim Afellay","M","37","Netherlands","16","9","1","0","16","5","4","14","1","0","20"
"Thiago Alcantara","M","32","Spain","12","6","2","0","8","4","9","8","1","0","30"
"David Villa","F","42","Spain","34","2","18","5","133","57","32","24","3","1","7"
"Lionel Messi","F","36","Argentina","33","2","31","18","150","80","22","57","3","0","10"
"Jeffrén Suárez","F","36","Venezuela","8","4","1","1","12","6","5","9","0","0","11"
"Pedro","F","36","Spain","33","9","13","7","60","33","33","27","2","0","17"
