"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Martín Montoya","D","29","Spain","13","1","0","2","8","1","9","10","0","0","2"
"Gerard Piqué","D","33","Spain","26","0","2","0","22","8","27","11","5","0","3"
"Carles Puyol","D","42","Spain","5","0","1","0","1","1","1","4","0","0","5"
"Marc Bartra","D","29","Spain","20","3","1","1","8","3","18","11","3","0","15"
"Jordi Alba","D","31","Spain","15","1","0","2","5","3","18","17","5","1","18"
"Adriano","D","35","Brazil","26","2","3","1","34","12","40","19","8","0","21"
"Dani Alves","D","37","Brazil","27","1","2","3","32","8","53","48","6","0","22"
"Cesc Fàbregas","M","33","Spain","36","8","8","13","52","24","42","38","4","0","4"
"Xavi","M","40","Spain","30","4","3","2","34","12","3","18","0","0","6"
"Andrés Iniesta","M","36","Spain","35","8","3","7","43","14","21","63","0","0","8"
"Alexis Sánchez","M","31","Chile","34","7","19","10","66","36","34","54","3","0","9"
"Jonathan dos Santos","M","30","Mexico","3","3","0","0","0","0","0","1","0","0","12"
"Javier Mascherano","M","36","Argentina","28","1","0","0","3","0","33","19","9","0","14"
"Sergio Busquets","M","32","Spain","32","2","1","1","8","2","28","50","12","0","16"
"Alex Song","M","33","Cameroon","19","7","0","0","4","2","24","9","2","0","17"
"Ibrahim Afellay","M","34","Netherlands","1","1","0","0","0","0","0","0","0","0","19"
"Sergi Roberto","M","28","Spain","17","16","0","0","4","1","5","6","0","0","24"
"Sergi Gómez","M","28","Spain","0","0","0","0","0","0","0","0","0","0","26"
"Patric","M","27","Spain","0","0","0","0","0","0","0","0","0","0","27"
"Gerard Deulofeu","F","26","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bojan Krkic","F","30","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pedro","F","33","Spain","37","9","15","8","70","29","28","45","3","0","7"
"Lionel Messi","F","33","Argentina","31","2","28","11","160","74","11","49","2","0","10"
"Neymar","F","28","Brazil","26","7","9","8","68","30","29","79","6","0","11"
"Cristian Tello","F","29","Spain","22","20","1","2","20","5","2","1","0","0","20"
"Isaac Cuenca","F","29","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23"
"Adama Traoré","F","24","Spain","1","1","0","0","1","1","0","0","0","0","28"
"Jean Mario Dongou","F","25",NA,"1","1","0","0","0","0","0","1","0","0","29"
