"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Martín Cáceres","D","33","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Dalmau","D","28","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dani Alves","D","37","Brazil","29","1","3","10","29","5","61","39","7","1","2"
"Gerard Piqué","D","33","Spain","32","3","2","0","15","5","15","10","6","1","3"
"Carles Puyol","D","42","Spain","32","1","1","2","7","2","19","41","7","0","5"
"Gabriel Milito","D","40","Argentina","11","2","0","1","3","1","14","2","2","0","18"
"Maxwell","D","39","Brazil","25","0","0","4","6","3","27","22","5","0","19"
"Adriano","D","35","Brazil","27","4","0","5","24","10","37","42","6","0","21"
"Eric Abidal","D","41","France","17","2","0","4","1","0","17","4","3","0","22"
"Andreu Fontàs","D","30","Spain","1","1","0","0","0","0","0","0","0","0","32"
"Marc Muniesa","D","28","Spain","0","0","0","0","0","0","0","0","0","0","46"
"Sergi Gómez","M","28","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilie","M","29","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexsandr Hleb","M","39","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martí Riverola","M","29","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Víctor Sánchez","M","33","Spain","25","3","2","4","13","5","48","30","6","1",NA
"Nolito","M","34","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xavi","M","40","Spain","34","3","3","14","45","19","12","54","4","0","6"
"Andrés Iniesta","M","36","Spain","29","9","1","5","28","10","23","67","2","0","8"
"Seydou Keita","M","40","Mali","29","6","6","2","39","10","66","49","8","0","15"
"Sergio Busquets","M","32","Spain","33","7","0","2","9","1","48","85","8","1","16"
"Sergi Roberto","M","28","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23"
"Jonathan dos Santos","M","30","Mexico","3","2","0","0","1","0","3","1","0","0","28"
"Gai Yigaal Assulin","M","29","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
"Edu Oriol","F","33","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cristian Tello","F","29","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Víctor Vázquez","F","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Villa","F","38","Spain","32","1","21","3","139","61","46","42","4","0","7"
"Zlatan Ibrahimovic","F","39","Sweden","29","6","16","7","100","44","59","34","6","1","9"
"Lionel Messi","F","33","Argentina","35","5","34","10","163","86","29","84","3","0","10"
"Bojan Krkic","F","30","Spain","23","12","8","3","31","14","10","17","2","0","11"
"Benja","F","33","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14"
"Pedro","F","33","Spain","34","12","12","3","38","20","34","57","2","0","17"
"Jeffrén Suárez","F","32","Venezuela","12","6","2","0","5","3","6","6","1","0","20"
"Jonathan","F","35","Spain","0","0","0","0","0","0","0","0","0","0","36"
