"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Henrique","D","37","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andreu Fontàs","D","34","Spain","0","0","0","0","0","0","0","0","0","0",NA
"Martín Cáceres","D","36","Uruguay","13","5","0","0","1","0","5","4","0","0","2"
"Gerard Piqué","D","37","Spain","25","0","1","0","13","7","33","17","5","2","3"
"Rafael Márquez","D","44","Mexico","23","0","1","0","20","2","19","24","5","1","4"
"Carles Puyol","D","45","Spain","28","2","1","3","12","2","25","30","4","0","5"
"Sylvinho Mendes Campos","D","49","Brazil","15","5","0","0","7","2","2","8","0","0","16"
"Gabriel Milito","D","43","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"Dani Alves","D","40","Brazil","34","2","5","9","57","11","77","62","10","0","20"
"Eric Abidal","D","44","France","25","0","0","1","5","0","26","17","5","1","22"
"David Córcoles","D","38","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33"
"Botía","D","35",NA,"1","1","0","0","0","0","0","0","0","0","36"
"Marc Muniesa","D","31","Spain","1","1","0","0","0","0","1","0","0","1","46"
"Víctor Vázquez","M","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xavi","M","44","Spain","35","1","6","20","58","16","25","60","4","0","6"
"Andrés Iniesta","M","39","Spain","26","4","4","8","45","13","17","75","3","0","8"
"Seydou Keita","M","44","Mali","29","12","4","0","34","14","35","29","0","1","15"
"Aleksandr Hleb","M","42","Belarus","19","11","0","3","6","3","20","21","0","0","21"
"Yaya Touré","M","40","Ivory Coast","25","2","2","1","9","4","28","18","4","0","24"
"Sergio Busquets","M","35","Spain","24","8","1","0","12","3","45","65","9","0","28"
"Abraham Gonzalez","M","38","Spain","1","1","0","0","1","0","0","0","0","0","35"
"Thiago Alcantara","M","32","Spain","1","1","0","0","0","0","1","0","0","0","44"
"Jeffrén Suárez","F","36","Venezuela","2","2","0","0","1","1","0","0","0","0",NA
"Eidur Gudjohnsen","F","45","Iceland","24","13","3","2","18","4","15","16","2","0","7"
"Samuel Etoo","F","42","Cameroon","36","2","30","4","155","67","32","35","9","0","9"
"Lionel Messi","F","36","Argentina","31","4","23","11","114","50","26","83","2","0","10"
"Bojan Krkic","F","33","Spain","23","17","2","4","33","14","6","16","3","0","11"
"Thierry Henry","F","46","France","30","5","19","8","100","63","37","30","3","0","14"
"Pedro","F","36","Spain","6","2","0","0","5","3","1","14","0","0","17"
"Victor Sánchez","F","21","Spain","7","4","0","0","1","0","6","1","0","0","29"
