"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Aleix Vidal","D","34","Spain","31","9","4","5","19","11","33","50","8","0",NA
"Martín Montoya","D","32","Spain","8","2","0","0","3","1","8","8","0","0","2"
"Gerard Piqué","D","37","Spain","27","1","5","1","20","8","24","11","6","0","3"
"Marc Bartra","D","33","Spain","14","3","1","3","11","4","7","8","1","0","15"
"Pereira Douglas","D","33","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"Jordi Alba","D","34","Spain","27","0","1","3","18","8","21","23","6","1","18"
"Sergi Roberto","D","31","Spain","12","8","0","0","4","0","5","6","0","0","20"
"Adriano","D","39","Brazil","16","6","0","1","8","3","24","6","2","0","21"
"Dani Alves","D","40","Brazil","30","1","0","6","21","4","53","33","6","1","22"
"Thomas Vermaelen","D","38","Belgium","1","0","0","0","1","0","0","0","0","0","23"
"Jérémy Mathieu","D","40","France","28","5","2","0","11","6","14","10","5","0","24"
"Diawandou Niang Diagne","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33"
"Ivan Rakitic","M","35","Croatia","32","9","5","7","34","12","19","29","1","0","4"
"Sergio Busquets","M","35","Spain","33","4","1","2","7","2","26","54","7","0","5"
"Andrés Iniesta","M","39","Spain","24","5","0","1","24","7","13","36","3","0","8"
"Rafinha","M","31","Brazil","24","11","1","1","12","4","11","34","2","0","12"
"Javier Mascherano","M","39","Argentina","28","2","0","0","2","1","23","23","8","1","14"
"Jordi Masip","M","23","Spain","1","0","0","0","0","0","0","0","0","0","25"
"Sergi Samper","M","29","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26"
"Sandro Ramirez","M","28","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
"Edgar Miguel le","M","29","Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32"
"Pedro","F","36","Spain","35","20","6","6","38","20","23","21","3","0","7"
"Luis Suárez","F","37","Uruguay","27","2","16","14","75","36","25","36","4","0","9"
"Lionel Messi","F","36","Argentina","38","1","43","18","187","94","25","90","4","0","10"
"Neymar","F","32","Brazil","33","4","22","7","95","45","33","96","6","0","11"
"Adama Traoré","F","28","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27"
"Munir El Haddadi","F","28","Morocco","10","3","1","1","18","4","5","6","0","0","31"
