"","name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"1","Juliano Belletti","D","44","Brazil","28","7","0","0","13","7","52","0","9","0","2"
"2","Rafael Márquez","D","41","Mexico","25","0","0","0","19","4","32","0","7","1","4"
"3","Carles Puyol","D","42","Spain","36","0","1","0","7","1","30","0","6","1","5"
"4","Giovanni Van Bronckhorst","D","45","Netherlands","19","4","0","2","12","4","40","0","3","0","12"
"5","Edmílson","D","44","Brazil","28","4","0","0","10","1","47","0","11","1","15"
"6","Sylvinho","D","46","Brazil","27","4","2","4","8","1","32","0","5","0","16"
"7","Oleguer","D","40","Spain","33","2","0","0","15","3","40","0","1","0","23"
"8","Sergio Rodri","D","36","Spain","5","1","0","0","0","0","3","0","0","0","26"
"9","Francisco Martos","D","36","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30"
"10","Jesus Olmo","D","35","Spain","1","0","0","0","0","0","1","0","1","0","43"
"11","Jordi Gómez","M","35","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Thiago Motta","M","38","Brazil","16","4","1","0","12","2","25","0","3","1","3"
"13","Xavi","M","40","Spain","16","2","0","1","18","4","11","0","0","0","6"
"14","Ludovic Giuly","M","44","France","29","8","5","3","51","22","19","0","1","0","8"
"15","Ronaldinho","M","40","Brazil","29","0","17","13","91","19","27","0","5","0","10"
"16","Mark Van Bommel","M","33","Netherlands","25","7","2","2","37","13","44","0","4","0","17"
"17","Garcia de la Torre Gabri","M","41","Spain","11","7","0","0","4","0","14","0","1","1","18"
"18","Deco","M","43","Portugal","29","1","3","5","39","11","59","0","7","1","20"
"19","Demetrio Albertini","M","49","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
"20","Andrés Iniesta","M","36","Spain","34","19","0","4","24","7","27","0","3","0","24"
"21","Pitu","M","36","Spain","1","1","0","0","0","0","1","0","0","0","27"
"22","Verdú","M","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
"23","Paco Montanes","M","34","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34"
"24","Lolo","M","36","Spain","0","0","0","0","0","0","0","0","0","0","37"
"25","Sylvestre Ludovic","M","36","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41"
"26","Andrea Orlandi","M","36","Spain","1","0","0","0","0","0","0","0","0","0","44"
"27","Eidur Gudjohnsen","F","42","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Samuel Etoo","F","39","Cameroon","35","0","26","5","132","45","28","0","2","0","9"
"29","Maxi Lopez","F","36","Argentina","7","4","0","1","8","1","9","0","0","0","11"
"30","Santiago Ezquerro","F","43","Spain","13","9","2","0","12","3","6","0","0","0","14"
"31","Lionel Messi","F","33","Argentina","17","6","6","0","32","11","13","0","2","0","19"
"32","Oriol Riera","F","34","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
"33","Peral Javito","F","36","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36"
"34","Cristian","F","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83"
