"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Moussa Wagué","D","25","Senegal","1","0","0","0","0","0","1","0","0","0",NA
"JeanClair Todibo","D","24","France","2","1","0","0","0","0","1","0","0","0",NA
"Nélson Semedo","D","30","Portugal","32","8","1","2","8","2","21","30","2","0","2"
"Gerard Piqué","D","37","Spain","35","0","1","0","14","7","32","19","15","0","3"
"Clément Lenglet","D","28","France","28","0","2","1","10","3","32","25","7","2","15"
"Jordi Alba","D","34","Spain","27","2","2","5","7","3","18","18","7","0","18"
"Sergi Roberto","D","31","Spain","30","3","1","2","6","2","18","39","7","0","20"
"Samuel Umtiti","D","30","France","13","3","0","0","0","0","20","16","6","0","23"
"Júnior Firpo","D","27","Spain","17","6","1","1","4","1","35","16","5","0","24"
"Ronald Araújo","D","24","Uruguay","6","4","0","0","1","0","2","1","0","1","33"
"Dani Morer","D","26","Spain","0","0","0","0","0","0","0","0","0","0","35"
"Sergio Akieme","D","26","Spain","0","0","0","0","0","0","0","0","0","0","39"
"Jorge Cuenca","D","24","Spain","0","0","0","0","0","0","0","0","0","0","43"
"Oriol Busquets","M","25","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ivan Rakitic","M","35","Croatia","31","15","1","3","24","7","20","38","5","0","4"
"Sergio Busquets","M","35","Spain","33","4","2","2","10","4","46","51","10","0","5"
"Arthur","M","27","Brazil","21","7","3","3","8","5","11","44","1","0","8"
"Frenkie de Jong","M","26","Netherlands","29","5","2","2","4","4","23","31","1","1","21"
"Arturo Vidal","M","36","Chile","33","17","8","2","25","14","44","23","4","0","22"
"Ricard Puig","M","24","Spain","11","6","0","2","8","5","9","11","1","0","28"
"Alex Collado","M","24","Spain","1","1","0","0","0","0","0","0","0","0","30"
"Monchu","M","24","Spain","0","0","0","0","0","0","0","0","0","0","42"
"Luis Suárez","F","37","Uruguay","28","6","16","8","79","42","15","25","4","0","9"
"Lionel Messi","F","36","Argentina","33","1","25","21","159","71","20","70","4","0","10"
"Ousmane Dembélé","F","26","France","5","2","1","0","5","2","1","5","1","1","11"
"Antoine Griezmann","F","32","France","35","4","9","4","55","23","10","21","2","0","17"
"Martin Braithwaite","F","32","Denmark","35","10","7","2","55","26","38","38","4","0","19"
"Ansu Fati","F","21","Spain","24","13","7","1","33","12","19","19","2","1","31"
"Rey Manaj","F","26","Albania","0","0","0","0","0","0","0","0","0","0","41"
