"","Name","POS","Age","HT","WT","NAT","APP","SUB","G","A","SH","ST","FC","FA","YC","RC"
"1","Gabriel Milito3","D","40","5' 9""","152 lbs","Argentina","27","1","1","0","16","5","49","19","5","1"
"2","Rafael Márquez4","D","41","6' 0""","165 lbs","Mexico","23","8","2","0","15","5","33","21","5","1"
"3","Carles Puyol5","D","42","5' 10""","172 lbs","Spain","30","1","0","0","9","2","32","35","8","0"
"4","Gianluca Zambrotta11","D","43","5' 11""","174 lbs","Italy","29","4","0","1","14","1","46","33","7","1"
"5","Edmílson15","D","44","6' 1""","165 lbs","Brazil","11","6","0","0","2","0","11","6","1","1"
"6","Sylvinho16","D","46","5' 8""","148 lbs","Brazil","14","4","0","0","6","1","9","6","1","0"
"7","Lilian Thuram21","D","48","6' 1""","172 lbs","France","18","1","0","0","0","0","18","15","2","0"
"8","Eric Abidal22","D","41","5' 11""","165 lbs","France","30","2","0","0","4","1","47","13","2","0"
"9","Oleguer23","D","40","6' 1""","181 lbs","Spain","12","5","0","0","3","0","9","4","0","0"
"10","Alberto Botía29","D","31","6' 2""","174 lbs","Spain","0","0","0","0","0","0","0","0","0","0"
"11","Marc Valiente29","D","33","6' 0""","157 lbs","Spain","0","0","0","0","0","0","0","0","0","0"
"12","Víctor Espasandín34","D","35","5' 9""","161 lbs",NA,"0","0","0","0","0","0","0","0","0","0"
"13","Fali35","D","34","5' 10""","150 lbs",NA,"1","1","0","0","0","0","1","0","1","0"
"14","Xavi6","M","40","5' 6""","146 lbs","Spain","35","2","7","6","36","14","20","34","3","1"
"15","Andrés Iniesta8","M","36","5' 7""","159 lbs","Spain","31","3","3","3","43","22","41","95","6","0"
"16","Ronaldinho10","M","40","5' 11""","176 lbs","Brazil","17","4","8","2","49","20","10","26","0","0"
"17","Giovani Dos Santos17","M","31","5' 10""","152 lbs","Mexico","28","18","3","4","32","12","30","21","2","0"
"18","Deco20","M","43","5' 9""","161 lbs","Portugal","18","4","1","6","31","9","35","32","11","0"
"19","Yaya Touré24","M","37","6' 2""","196 lbs","Ivory Coast","26","1","1","0","25","4","49","27","7","0"
"20","Víctor Sánchez30","M","33","5' 9""","159 lbs","Spain","1","1","0","0","0","0","0","0","0","0"
"21","José Rueda32","M","32","5' 10""","163 lbs",NA,"1","1","0","0","1","0","0","0","0","0"
"22","Jordi Gómez33","M","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Jeffrén Suárez","F","32","5' 9""","161 lbs","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Eidur Gudjohnsen7","F","42","6' 1""","196 lbs","Iceland","23","11","2","1","21","6","10","15","2","0"
"25","Samuel Eto'o9","F","39","5' 10""","165 lbs","Cameroon","18","0","16","3","67","37","17","37","5","0"
"26","Thierry Henry14","F","43","6' 2""","183 lbs","France","30","3","12","9","72","33","36","24","2","0"
"27","Santiago Ezquerro18","F","43","5' 11""","165 lbs","Spain","3","2","0","1","1","0","2","2","0","0"
"28","Lionel Messi19","F","33","5' 7""","159 lbs","Argentina","28","5","10","12","68","33","33","72","2","0"
"29","Bojan Krkic27","F","30","5' 8""","141 lbs","Spain","31","17","10","3","45","22","18","28","1","0"
"30","Pedro33","F","33","5' 7""","139 lbs","Spain","2","2","0","0","1","0","0","1","0","0"
"31","Víctor Vázquez36","F","33","5' 9""","157 lbs",NA,"1","1","0","0","0","0","1","1","0","0"
"32","Francisco Montañés42","F","34","5' 8""","154 lbs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
