"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Gerard Piqué","D","37","Spain","25","0","2","0","20","8","22","8","6","0","3"
"Jordi Alba","D","34","Spain","26","5","1","6","6","1","20","16","4","0","18"
"Lucas Digne","D","30","France","17","3","0","0","5","1","18","10","3","0","19"
"Sergi Roberto","D","31","Spain","32","6","0","6","16","5","20","29","5","0","20"
"Aleix Vidal","D","34","Spain","6","1","2","2","9","4","7","5","0","0","22"
"Samuel Umtiti","D","30","France","25","1","1","0","6","2","24","21","4","0","23"
"Jérémy Mathieu","D","40","France","14","1","1","0","5","1","11","4","0","0","24"
"Marlon","D","28","Brazil","2","0","0","0","0","0","1","1","0","0","33"
"Borja López","D","30","Spain","0","0","0","0","0","0","0","0","0","0","35"
"Ivan Rakitic","M","35","Croatia","32","6","8","5","48","17","29","41","5","0","4"
"Sergio Busquets","M","35","Spain","33","0","0","3","4","0","41","35","9","0","5"
"Denis Suárez","M","30","Spain","26","14","1","3","14","7","16","21","1","0","6"
"Arda Turan","M","37","Turkey","18","4","3","3","14","5","30","22","1","0","7"
"Andrés Iniesta","M","39","Spain","23","10","0","3","18","8","17","31","2","0","8"
"Rafinha","M","31","Brazil","18","4","6","2","25","10","9","33","1","0","12"
"Javier Mascherano","M","39","Argentina","25","5","1","3","10","2","21","19","6","0","14"
"André Gomes","M","30","Portugal","30","13","3","1","19","7","40","17","3","0","21"
"Jordi Masip","M","23","Spain","0","0","0","0","0","0","0","0","0","0","25"
"Carles Aleñá","M","26","Spain","3","3","0","0","1","0","2","0","1","0","28"
"Àlex Carbonell","M","26","Spain","0","0","0","0","0","0","0","0","0","0","30"
"Nili","M","29","Spain","0","0","0","0","0","0","0","0","0","0","31"
"Luis Suárez","F","37","Uruguay","35","1","29","13","120","58","33","44","8","0","9"
"Lionel Messi","F","36","Argentina","34","2","37","9","179","77","14","79","6","0","10"
"Neymar","F","32","Brazil","30","0","13","11","105","42","36","126","6","1","11"
"Paco Alcácer","F","30","Spain","21","14","6","3","27","16","10","7","1","0","17"
"Marc Cardona","F","28","Spain","0","0","0","0","0","0","0","0","0","0","39"
