"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Gabriel Milito","D","43","Argentina","27","1","1","0","16","5","49","19","5","1","3"
"Rafael Márquez","D","44","Mexico","23","8","2","0","15","5","33","21","5","1","4"
"Carles Puyol","D","45","Spain","30","1","0","0","9","2","32","35","8","0","5"
"Gianluca Zambrotta","D","46","Italy","29","4","0","1","14","1","46","33","7","1","11"
"Sylvinho Mendes Campos","D","49","Brazil","14","4","0","0","6","1","9","6","1","0","16"
"Lilian Thuram","D","52","France","18","1","0","0","0","0","18","15","2","0","21"
"Eric Abidal","D","44","France","30","2","0","0","4","1","47","13","2","0","22"
"Oleguer Presas Renom","D","44","Spain","12","5","0","0","3","0","9","4","0","0","23"
"Marc Valiente","D","36","Spain","0","0","0","0","0","0","0","0","0","0","29"
"Alberto Botía","D","35","Spain","0","0","0","0","0","0","0","0","0","0","29"
"Víctor Espasandín","D","38",NA,"0","0","0","0","0","0","0","0","0","0","34"
"Xavi","M","44","Spain","35","2","7","6","36","14","20","34","3","1","6"
"Andrés Iniesta","M","39","Spain","31","3","3","3","43","22","41","95","6","0","8"
"Jose Edmilson","M","47","Brazil","11","6","0","0","2","0","11","6","1","1","15"
"Deco","M","46","Portugal","18","4","1","6","31","9","35","32","11","0","20"
"Yaya Touré","M","40","Ivory Coast","26","1","1","0","25","4","49","27","7","0","24"
"José Rueda","M","36",NA,"1","1","0","0","1","0","0","0","0","0","32"
"Jordi Gómez","M","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33"
"Víctor Vázquez","M","37","Spain","1","1","0","0","0","0","1","1","0","0","36"
"Jeffrén Suárez","F","36","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eidur Gudjohnsen","F","45","Iceland","23","11","2","1","21","6","10","15","2","0","7"
"Samuel Etoo","F","42","Cameroon","18","0","16","3","67","37","17","37","5","0","9"
"Ronaldinho","F","43","Brazil","17","4","8","2","49","20","10","26","0","0","10"
"Thierry Henry","F","46","France","30","3","12","9","72","33","36","24","2","0","14"
"Giovani Dos Santos","F","34","Mexico","28","18","3","4","32","12","30","21","2","0","17"
"Santiago Ezquerro","F","47","Spain","3","2","0","1","1","0","2","2","0","0","18"
"Lionel Messi","F","36","Argentina","28","5","10","12","68","33","33","72","2","0","19"
"Bojan Krkic","F","33","Spain","31","17","10","3","45","22","18","28","1","0","27"
"Victor Sánchez","F","21","Spain","1","1","0","0","0","0","0","0","0","0","30"
"Pedro","F","36","Spain","2","2","0","0","1","0","0","1","0","0","33"
"Francisco Montañés","F","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42"
