"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Juliano Belletti","D","47","Brazil","28","7","0","0","13","7","52","0","9","0","2"
"Rafael Márquez","D","44","Mexico","25","0","0","0","19","4","32","0","7","1","4"
"Carles Puyol","D","45","Spain","36","0","1","0","7","1","30","0","6","1","5"
"Giovanni van Bronckhorst","D","49","Netherlands","19","4","0","2","12","4","40","0","3","0","12"
"Sylvinho Mendes Campos","D","49","Brazil","27","4","2","4","8","1","32","0","5","0","16"
"Oleguer Presas Renom","D","44","Spain","33","2","0","0","15","3","40","0","1","0","23"
"Sergio Rodri","D","39","Spain","5","1","0","0","0","0","3","0","0","0","26"
"Francisco Martos","D","40","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30"
"Jesus Olmo","D","39","Spain","1","0","0","0","0","0","1","0","1","0","43"
"Jordi Gómez","M","38","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thiago Motta","M","41","Brazil","16","4","1","0","12","2","25","0","3","1","3"
"Xavi","M","44","Spain","16","2","0","1","18","4","11","0","0","0","6"
"Ludovic Giuly","M","47","France","29","8","5","3","51","22","19","0","1","0","8"
"Jose Edmilson","M","47","Brazil","28","4","0","0","10","1","47","0","11","1","15"
"Mark van Bommel","M","36","Netherlands","25","7","2","2","37","13","44","0","4","0","17"
"Garcia de la Torre Gabri","M","44","Spain","11","7","0","0","4","0","14","0","1","1","18"
"Deco","M","46","Portugal","29","1","3","5","39","11","59","0","7","1","20"
"Demetrio Albertini","M","52","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
"Andrés Iniesta","M","39","Spain","34","19","0","4","24","7","27","0","3","0","24"
"Pitu","M","40","Spain","1","1","0","0","0","0","1","0","0","0","27"
"Joan Verdú","M","40","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
"Paco Montanes","M","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34"
"Lolo","M","39","Spain","0","0","0","0","0","0","0","0","0","0","37"
"Sylvestre Ludovic","M","39","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41"
"Andrea Orlandi","M","39","Spain","1","0","0","0","0","0","0","0","0","0","44"
"Eidur Gudjohnsen","F","45","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel Etoo","F","42","Cameroon","35","0","26","5","132","45","28","0","2","0","9"
"Ronaldinho","F","43","Brazil","29","0","17","13","91","19","27","0","5","0","10"
"Maxi López","F","39","Argentina","7","4","0","1","8","1","9","0","0","0","11"
"Santiago Ezquerro","F","47","Spain","13","9","2","0","12","3","6","0","0","0","14"
"Lionel Messi","F","36","Argentina","17","6","6","0","32","11","13","0","2","0","19"
"Oriol Riera","F","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
"Peral Javito","F","40","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36"
"Cristian Hidalgo González","F","40","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83"
